Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
190.50000	0.00027
190.50000	0.00075
190.50000	-0.00086
190.51667	0.00108
190.51667	0.00027
190.51667	-0.00086
190.51667	-0.00005
190.51667	0.00027
190.51667	0.00140
190.51667	-0.00005
190.51667	0.00043
190.51667	0.00108
190.51667	0.00043
190.51667	-0.00086
190.51667	0.00011
190.51667	0.00043
190.51667	0.00124
190.51667	0.00204
190.51667	0.00510
190.51667	0.01284
190.51667	0.01606
190.51667	0.00269
190.51667	0.00043
190.50000	0.00156
190.50000	-0.00053
190.50000	-0.00005
190.50000	0.00011
190.50000	0.00172
190.50000	-0.00086
190.50000	-0.00037
190.50000	0.00140
190.50000	0.00172
190.50000	0.00172
190.50000	-0.00053
190.50000	0.00768
190.50000	0.01525
190.50000	0.01364
190.50000	0.01525
190.50000	0.01445
190.50000	0.01606
190.50000	0.01348
190.50000	0.01235
190.50000	0.01074
190.50000	0.00140
190.50000	0.00092
190.50000	0.00124
190.50000	-0.00086
190.50000	0.00059
190.50000	0.00156
190.50000	0.00075
190.50000	0.00092
190.50000	0.00043
190.50000	0.00543
190.50000	0.01139
190.50000	0.00994
190.50000	0.01058
190.50000	0.00736
190.50000	0.00575
190.50000	0.01074
190.50000	0.00124
190.50000	0.00172
190.50000	0.00253
190.50000	0.00172
190.50000	0.00172
190.50000	0.00027
190.50000	-0.00053
190.50000	-0.00037
190.50000	-0.00086
190.50000	-0.00021
190.50000	0.00027
190.50000	0.00011
190.50000	-0.00053
190.50000	0.00204
190.50000	0.00897
190.50000	0.00526
190.50000	0.00204
190.50000	0.00172
190.50000	0.00172
190.50000	-0.00005
190.50000	0.00092
190.50000	-0.00134
190.50000	-0.00166
190.50000	-0.00021
190.50000	-0.00086
190.50000	-0.00150
190.50000	-0.00021
190.50000	-0.00118
190.50000	-0.00070
190.50000	0.00317
190.50000	0.00301
190.50000	0.00462
