Motion Sensor Data File Sep 20	 2018 9:52 AM
Time (s)	Distance (cm)	Dist Error (cm)
2.620	21.711	0.239
2.630	21.915	0.239
2.640	22.131	0.239
2.650	22.369	0.239
2.660	22.606	0.239
2.670	22.852	0.239
2.680	23.099	0.239
2.690	23.366	0.239
2.700	23.617	0.239
2.710	23.876	0.239
2.720	24.127	0.239
2.730	24.386	0.239
2.740	24.624	0.239
2.750	24.857	0.239
2.760	25.078	0.239
2.770	25.298	0.239
2.780	25.488	0.239
2.790	25.662	0.239
2.800	25.817	0.239
2.810	25.956	0.239
2.820	26.082	0.239
2.830	26.182	0.239
2.840	26.256	0.239
2.850	26.305	0.239
2.860	26.345	0.239
2.870	26.350	0.239
2.880	26.334	0.239
2.890	26.292	0.239
2.900	26.242	0.239
2.910	26.157	0.239
2.920	26.047	0.239
2.930	25.919	0.239
2.940	25.778	0.239
2.950	25.612	0.239
2.960	25.424	0.239
2.970	25.219	0.239
2.980	25.014	0.239
2.990	24.786	0.239
3.000	24.547	0.239
3.010	24.299	0.239
3.020	24.059	0.239
3.030	23.803	0.239
3.040	23.542	0.239
3.050	23.280	0.239
3.060	23.032	0.239
3.070	22.780	0.239
3.080	22.532	0.239
3.090	22.288	0.239
3.100	22.057	0.239
3.110	21.856	0.239
3.120	21.650	0.239
3.130	21.463	0.239
3.140	21.288	0.239
3.150	21.151	0.239
3.160	21.015	0.239
3.170	20.904	0.239
3.180	20.815	0.239
3.190	20.760	0.239
3.200	20.719	0.239
3.210	20.689	0.239
3.220	20.686	0.239
3.230	20.722	0.239
3.240	20.771	0.239
3.250	20.841	0.239
3.260	20.932	0.239
3.270	21.062	0.239
3.280	21.193	0.239
3.290	21.340	0.239
3.300	21.500	0.239
3.310	21.686	0.239
3.320	21.885	0.239
3.330	22.080	0.239
3.340	22.300	0.239
3.350	22.534	0.239
3.360	22.797	0.239
3.370	23.048	0.239
3.380	23.307	0.239
3.390	23.575	0.239
3.400	23.856	0.239
3.410	24.110	0.239
3.420	24.352	0.239
3.430	24.590	0.239
3.440	24.827	0.239
3.450	25.031	0.239
3.460	25.221	0.239
3.470	25.399	0.239
3.480	25.580	0.239
3.490	25.728	0.239
3.500	25.867	0.239
3.510	25.980	0.239
3.520	26.092	0.239
3.530	26.184	0.239
3.540	26.245	0.239
3.550	26.273	0.239
3.560	26.299	0.239
3.570	26.283	0.239
3.580	26.233	0.239
3.590	26.161	0.239
3.600	26.081	0.239
3.610	25.970	0.239
3.620	25.834	0.239
3.630	25.684	0.239
3.640	25.514	0.239
3.650	25.339	0.239
3.660	25.129	0.239
3.670	24.906	0.239
3.680	24.680	0.239
3.690	24.458	0.239
3.700	24.205	0.239
3.710	23.948	0.239
3.720	23.687	0.239
3.730	23.443	0.239
3.740	23.186	0.239
3.750	22.930	0.239
3.760	22.677	0.239
3.770	22.451	0.239
3.780	22.215	0.239
3.790	21.988	0.239
3.800	21.779	0.239
3.810	21.600	0.239
3.820	21.416	0.239
3.830	21.258	0.239
3.840	21.113	0.239
3.850	21.002	0.239
3.860	20.901	0.239
3.870	20.820	0.239
3.880	20.761	0.239
3.890	20.728	0.239
3.900	20.729	0.239
3.910	20.743	0.239
3.920	20.779	0.239
3.930	20.836	0.239
3.940	20.932	0.239
3.950	21.032	0.239
3.960	21.158	0.239
3.970	21.296	0.239
3.980	21.469	0.239
3.990	21.647	0.239
4.000	21.846	0.239
4.010	22.053	0.239
4.020	22.291	0.239
4.030	22.525	0.239
4.040	22.767	0.239
4.050	23.013	0.239
4.060	23.276	0.239
4.070	23.531	0.239
4.080	23.786	0.239
4.090	24.032	0.239
4.100	24.292	0.239
4.110	24.534	0.239
4.120	24.762	0.239
4.130	24.983	0.239
4.140	25.208	0.239
4.150	25.402	0.239
4.160	25.584	0.239
4.170	25.745	0.239
4.180	25.892	0.239
4.190	26.026	0.239
4.200	26.131	0.239
4.210	26.214	0.239
4.220	26.271	0.239
4.230	26.319	0.239
4.240	26.329	0.239
4.250	26.317	0.239
4.260	26.280	0.239
4.270	26.238	0.239
4.280	26.153	0.239
4.290	26.051	0.239
4.300	25.928	0.239
4.310	25.791	0.239
4.320	25.629	0.239
4.330	25.450	0.239
4.340	25.257	0.239
4.350	25.061	0.239
4.360	24.834	0.239
4.370	24.595	0.239
4.380	24.347	0.239
4.390	24.107	0.239
4.400	23.850	0.239
4.410	23.589	0.239
4.420	23.324	0.239
4.430	23.067	0.239
4.440	22.823	0.239
4.450	22.570	0.239
4.460	22.322	0.239
4.470	22.074	0.239
4.480	21.856	0.239
4.490	21.634	0.239
4.500	21.429	0.239
4.510	21.249	0.239
4.520	21.100	0.239
4.530	20.959	0.239
4.540	20.849	0.239
4.550	20.760	0.239
4.560	20.704	0.239
4.570	20.658	0.239
4.580	20.634	0.239
4.590	20.627	0.239
4.600	20.649	0.239
4.610	20.689	0.239
4.620	20.751	0.239
4.630	20.833	0.239
4.640	20.951	0.239
4.650	21.094	0.239
4.660	21.254	0.239
4.670	21.436	0.239
4.680	21.648	0.239
4.690	21.864	0.239
4.700	22.089	0.239
4.710	22.322	0.239
4.720	22.564	0.239
4.730	22.823	0.239
4.740	23.070	0.239
4.750	23.320	0.239
4.760	23.579	0.239
4.770	23.851	0.239
4.780	24.102	0.239
4.790	24.353	0.239
4.800	24.599	0.239
4.810	24.845	0.239
4.820	25.066	0.239
4.830	25.269	0.239
4.840	25.455	0.239
4.850	25.645	0.239
4.860	25.801	0.239
4.870	25.940	0.239
4.880	26.057	0.239
4.890	26.166	0.239
4.900	26.240	0.239
4.910	26.293	0.239
4.920	26.320	0.239
4.930	26.338	0.239
4.940	26.318	0.239
4.950	26.276	0.239
4.960	26.213	0.239
4.970	26.124	0.239
4.980	26.026	0.239
4.990	25.898	0.239
5.000	25.745	0.239
5.010	25.578	0.239
5.020	25.403	0.239
5.030	25.202	0.239
5.040	24.989	0.239
5.050	24.762	0.239
5.060	24.535	0.239
5.070	24.287	0.239
5.080	24.039	0.239
5.090	23.782	0.239
5.100	23.534	0.239
5.110	23.277	0.239
5.120	23.016	0.239
5.130	22.763	0.239
5.140	22.532	0.239
5.150	22.289	0.239
5.160	22.062	0.239
5.170	21.848	0.239
5.180	21.660	0.239
5.190	21.476	0.239
5.200	21.310	0.239
5.210	21.161	0.239
5.220	21.046	0.239
5.230	20.935	0.239
5.240	20.850	0.239
5.250	20.783	0.239
5.260	20.741	0.239
5.270	20.734	0.239
5.280	20.739	0.239
5.290	20.766	0.239
5.300	20.819	0.239
5.310	20.906	0.239
5.320	20.997	0.239
5.330	21.119	0.239
5.340	21.254	0.239
5.350	21.423	0.239
5.360	21.595	0.239
5.370	21.786	0.239
5.380	21.989	0.239
5.390	22.223	0.239
5.400	22.447	0.239
5.410	22.681	0.239
5.420	22.927	0.239
5.430	23.191	0.239
5.440	23.441	0.239
5.450	23.692	0.239
5.460	23.947	0.239
5.470	24.210	0.239
5.480	24.452	0.239
5.490	24.685	0.239
5.500	24.906	0.239
5.510	25.118	0.239
5.520	25.325	0.239
5.530	25.507	0.239
5.540	25.676	0.239
5.550	25.823	0.239
5.560	25.962	0.239
5.570	26.067	0.239
5.580	26.150	0.239
5.590	26.215	0.239
5.600	26.268	0.239
5.610	26.278	0.239
5.620	26.253	0.239
5.630	26.224	0.239
5.640	26.174	0.239
5.650	26.085	0.239
5.660	25.983	0.239
5.670	25.868	0.239
5.680	25.744	0.239
5.690	25.595	0.239
5.700	25.424	0.239
5.710	25.236	0.239
5.720	25.040	0.239
5.730	24.817	0.239
5.740	24.586	0.239
5.750	24.342	0.239
5.760	24.103	0.239
5.770	23.837	0.239
5.780	23.568	0.239
5.790	23.303	0.239
5.800	23.041	0.239
5.810	22.802	0.239
5.820	22.558	0.239
5.830	22.327	0.239
5.840	22.105	0.239
5.850	21.908	0.239
5.860	21.707	0.239
5.870	21.523	0.239
