Polarization of Light 'theta' Data File Tue, Oct 23, 2018 10:06 AM
Sensor Position (Radians)	Light Intensity (Volts)
2.49146	0.04811
2.50018	0.05182
2.51327	0.05133
2.52200	0.05826
2.53073	0.06519
2.54382	0.06341
2.56127	0.06954
2.57872	0.07775
2.60490	0.09015
2.62672	0.10401
2.65290	0.11625
2.67472	0.12302
2.69217	0.13155
2.70962	0.14251
2.72708	0.15265
2.74017	0.15749
2.75326	0.16409
2.77507	0.17682
2.80125	0.19260
2.81871	0.20307
2.83180	0.20952
2.84489	0.19711
2.85798	0.21467
2.87543	0.22675
2.88852	0.23464
2.90161	0.24318
2.90597	0.23996
2.90161	0.24318
2.90161	0.24334
2.91034	0.23787
2.92343	0.25220
2.92343	0.24222
2.92343	0.24834
2.93215	0.26251
2.94961	0.25704
2.97579	0.26976
2.99324	0.27089
3.01506	0.27218
3.03251	0.28732
3.04560	0.27959
3.05869	0.28990
3.07178	0.27153
3.09360	0.29489
3.10232	0.29312
3.11978	0.29827
3.13287	0.29827
3.14159	0.29634
3.15468	0.29569
