Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	-0.00166
180.00000	-0.00037
180.00000	-0.00198
180.00000	-0.00182
180.00000	-0.00086
180.00000	0.00011
180.00000	0.00043
180.00000	0.00011
180.00000	-0.00215
180.00000	-0.00166
180.00000	0.00011
180.00000	-0.00037
180.00000	-0.00102
180.01667	-0.00118
180.01667	0.00043
180.01667	0.00043
180.01667	-0.00070
180.01667	-0.00198
180.03333	-0.00231
180.08333	-0.00343
180.46667	-0.00150
181.50000	0.05504
181.91667	0.07211
181.93333	0.07405
182.20000	0.06905
183.05000	0.01074
184.00000	0.00059
185.00000	-0.00150
186.35000	-0.00102
187.75000	-0.00263
189.13333	-0.00295
190.11667	-0.00102
190.65000	-0.00327
190.76667	-0.00102
190.75000	-0.00182
190.75000	-0.00182
190.75000	-0.00037
190.75000	-0.00086
190.75000	-0.00166
190.75000	-0.00182
190.75000	-0.00182
190.75000	-0.00343
190.75000	-0.00166
190.75000	-0.00182
190.75000	-0.00005
190.75000	-0.00021
190.75000	-0.00327
190.75000	-0.00360
190.75000	-0.00360
190.75000	-0.00086
190.75000	-0.00134
190.75000	-0.00295
190.75000	-0.00440
190.75000	-0.00053
190.75000	-0.00198
190.73333	-0.00247
190.73333	-0.00279
190.73333	-0.00086
190.73333	0.00027
190.73333	-0.00150
190.73333	-0.00102
190.73333	0.00011
190.73333	-0.00166
190.73333	-0.00070
190.73333	-0.00005
190.73333	0.02137
190.73333	0.07405
190.73333	0.00253
190.73333	-0.00247
190.73333	-0.00279
190.73333	-0.00118
190.73333	-0.00215
190.73333	-0.00263
190.73333	-0.00150
190.73333	0.00945
190.73333	0.07131
190.73333	0.00220
190.73333	-0.00166
190.73333	-0.00215
190.73333	-0.00231
190.73333	-0.00070
190.73333	-0.00231
190.73333	-0.00231
190.73333	-0.00279
190.73333	0.00301
190.73333	0.07099
190.73333	0.07227
190.73333	0.06905
190.73333	0.00092
190.73333	-0.00005
190.73333	-0.00134
190.73333	0.00011
190.73333	0.00011
190.73333	-0.00021
190.73333	-0.00102
190.73333	-0.00198
190.73333	-0.00215
190.73333	0.02459
190.73333	0.06793
190.73333	0.06309
190.73333	-0.00263
190.73333	-0.00215
190.73333	-0.00247
190.73333	-0.00215
190.73333	-0.00150
190.73333	-0.00198
190.73333	-0.00263
190.73333	-0.00327
190.73333	-0.00279
190.73333	0.00043
190.73333	-0.00053
190.73333	0.00446
190.73333	0.04505
190.73333	0.05955
190.73333	0.07195
190.73333	0.07582
190.73333	0.07324
190.73333	0.03523
190.73333	0.00108
190.73333	-0.00134
190.73333	-0.00053
190.73333	-0.00086
190.73333	-0.00150
190.73333	-0.00037
190.73333	-0.00150
190.73333	-0.00037
190.73333	-0.00134
190.73333	-0.00070
190.73333	-0.00086
190.73333	0.04231
190.73333	0.06986
190.73333	0.06873
190.73333	0.06535
190.73333	0.07276
190.73333	0.03104
